no,geneIDs,a-cells,a donor,no,geneIDs,b-cells,b donor,no,geneIDs,g-cells,g donor,no,geneIDs,d-cells,d donor,no,geneIDs,acinar cell type,acinar donor,no,geneIDs,ductal cell type,ductal donor,all cells
,,,,,,,,,,,,,,,,,,,,231,'KCNQ1',0.659,0.11,0.306
,,,,,,,,,,,,,,,,,,,,232,'CLCN7',0.659,0.536,-0.556
,,,,,,,,,,,,,,,,,,,,233,'DYNLRB1',0.658,0.463,-0.346
,,,,,,,,,,,,,,,,,,,,234,'DPP3',0.658,0.436,0
,,,,,,,,,,,,,,,,,,,,235,'ZDHHC8',0.657,0.493,-0.047
,,,,,,,,,,,,,,,,,,,,236,'RPS5',0.657,0.582,0.644
,,,,,,,,,,,,,,,,,,,,237,'CADM4',0.657,0.381,0.587
,,,,,,,,,,,,,,,,,,,,238,'ESRRA',0.656,0.382,0.573
,,,,,,,,,,,,,,,,,,,,239,'ATP5G2',0.656,0.494,0.626
,,,,,,,,,,,,,,,,,,,,240,'MAGEF1',0.655,0.376,0.629
,,,,,,,,,,,,,,,,,,,,241,'ENDOG',0.654,0.498,0.58
,,,,,,,,,,,,,,,,,,,,242,'MYO1D',0.654,0.399,0.552
,,,,,,,,,,,,,,,,,,,,243,'PNRC1',0.654,0.566,0.557
,,,,,,,,,,,,,,,,,,,,244,'UNC93B1',0.654,0.416,-0.227
,,,,,,,,,,,,,,,,,,,,245,'SHISA4',0.654,0.403,0.578
,,,,,,,,,,,,,,,,,,,,246,'DVL3',0.653,0.535,0.535
,,,,,,,,,,,,,,,,,,,,247,'PIK3R2',0.653,0.561,0.576
,,,,,,,,,,,,,,,,,,,,248,'IGFBP7',0.653,0.352,0.467
,,,,,,,,,,,,,,,,,,,,249,'LY6E',0.653,0.385,0.418
,,,,,,,,,,,,,,,,,,,,250,'TMC6',0.652,0.129,0.446
,,,,,,,,,,,,,,,,,,,,251,'CDC34',0.652,0.539,0.156
,,,,,,,,,,,,,,,,,,,,252,'B3GAT3',0.652,0.549,0.515
,,,,,,,,,,,,,,,,,,,,253,'NSMF',0.652,0.563,0.516
,,,,,,,,,,,,,,,,,,,,254,'BAX',0.652,0.472,0.432
,,,,,,,,,,,,,,,,,,,,255,'NADK',0.651,0.458,-0.289
,,,,,,,,,,,,,,,,,,,,256,'PKN1',0.651,0.473,-0.274
,,,,,,,,,,,,,,,,,,,,257,'SLC25A10',0.651,0.432,-0.321
,,,,,,,,,,,,,,,,,,,,258,'RPL10',0.65,0.501,-0.524
,,,,,,,,,,,,,,,,,,,,259,'RNF126',0.65,0.586,-0.378
,,,,,,,,,,,,,,,,,,,,260,'RPL12',0.65,0.588,-0.463
,,,,,,,,,,,,,,,,,,,,261,'P4HTM',0.65,0.444,-0.56
,,,,,,,,,,,,,,,,,,,,262,'PLXNA1',0.649,0.307,-0.49
,,,,,,,,,,,,,,,,,,,,263,'NME3',0.649,0.537,-0.536
,,,,,,,,,,,,,,,,,,,,264,'BCL2L1',0.649,0.456,-0.575
,,,,,,,,,,,,,,,,,,,,265,'HS1BP3',0.648,0.532,-0.553
,,,,,,,,,,,,,,,,,,,,266,'AP2A2',0.648,0.464,-0.311
,,,,,,,,,,,,,,,,,,,,267,'ORAI3',0.647,0.467,-0.258
,,,,,,,,,,,,,,,,,,,,268,'OGFR',0.647,0.439,-0.605
,,,,,,,,,,,,,,,,,,,,269,'POLR2A',0.646,0.518,0.64
,,,,,,,,,,,,,,,,,,,,270,'MBD1',0.646,0.292,0.683
,,,,,,,,,,,,,,,,,,,,271,'URM1',0.645,0.516,0.46
,,,,,,,,,,,,,,,,,,,,272,'POMT1',0.645,0.408,0.559
,,,,,,,,,,,,,,,,,,,,273,'SZRD1',0.645,0.58,0.439
,,,,,,,,,,,,,,,,,,,,274,'TRIOBP',0.645,0.259,0.527
,,,,,,,,,,,,,,,,,,,,275,'DUSP28',0.645,0.405,0.417
,,,,,,,,,,,,,,,,,,,,276,'RPS28',0.644,0.486,0.368
,,,,,,,,,,,,,,,,,,,,277,'BLOC1S4',0.644,0.317,0.574
,,,,,,,,,,,,,,,,,,,,278,'SH3GL1',0.643,0.441,0.381
,,,,,,,,,,,,,,,,,,,,279,'CRAT',0.643,0.467,0.417
,,,,,,,,,,,,,,,,,,,,280,'CTXN1',0.643,0.248,0.542
,,,,,,,,,,,,,,,,,,,,281,'ATN1',0.643,0.502,0.393
,,,,,,,,,,,,,,,,,,,,282,'APP',0.642,0.516,0.296
,,,,,,,,,,,,,,,,,,,,283,'MAZ',0.642,0.581,0.304
,,,,,,,,,,,,,,,,,,,,284,'TBC1D10A',0.642,0.401,0.144
,,,,,,,,,,,,,,,,,,,,285,'FOXA2',0.641,0.361,0.316
,,,,,,,,,,,,,,,,,,,,286,'SLC52A2',0.641,0.455,0.58
,,,,,,,,,,,,,,,,,,,,287,'FLNA',0.64,0.112,0.461
,,,,,,,,,,,,,,,,,,,,288,'RNPEP',0.64,0.381,0.534
,,,,,,,,,,,,,,,,,,,,289,'DOT1L',0.64,0.434,0.458
,,,,,,,,,,,,,,,,,,,,290,'FAM160A2',0.64,0.431,0.51
,,,,,,,,,,,,,,,,,,,,291,'KAT8',0.639,0.4,0.537
,,,,,,,,,,,,,,,,,,,,292,'LTBP3',0.639,0.537,0.36
,,,,,,,,,,,,,,,,,,,,293,'ZNF800',0.638,0.454,0.533
,,,,,,,,,,,,,,,,,,,,294,'TTYH3',0.637,0.264,0.481
,,,,,,,,,,,,,,,,,,,,295,'TXNL4A',0.637,0.507,0.19
,,,,,,,,,,,,,,,,,,,,296,'MOV10',0.636,0.386,0.19
,,,,,,,,,,,,,,,,,,,,297,'TMEM184B',0.636,0.499,0.315
,,,,,,,,,,,,,,,,,,,,298,'GGT7',0.635,0.409,0.484
,,,,,,,,,,,,,,,,,,,,299,'MIDN',0.634,0.483,0.327
,,,,,,,,,,,,,,,,,,,,300,'TRIM28',0.634,0.362,0.41
,,,,,,,,,,,,,,,,,,,,301,'ATP6V0A1',0.634,0.472,0.236
,,,,,,,,,,,,,,,,,,,,302,'GSDMD',0.634,0.37,0.464
,,,,,,,,,,,,,,,,,,,,303,'EPHX1',0.634,0.439,0.516
,,,,,,,,,,,,,,,,,,,,304,'MBOAT7',0.634,0.476,0.487
,,,,,,,,,,,,,,,,,,,,305,'NCLN',0.633,0.498,0.33
,,,,,,,,,,,,,,,,,,,,306,'LZTS2',0.633,0.352,0.169
,,,,,,,,,,,,,,,,,,,,307,'KDM5C',0.632,0.468,0.449
,,,,,,,,,,,,,,,,,,,,308,'FAM195A',0.632,0.526,0.203
,,,,,,,,,,,,,,,,,,,,309,'MECP2',0.632,0.364,0.289
,,,,,,,,,,,,,,,,,,,,310,'PRKCD',0.632,0.199,0.269
,,,,,,,,,,,,,,,,,,,,311,'TFE3',0.632,0.409,0.371
,,,,,,,,,,,,,,,,,,,,312,'TRPC4AP',0.631,0.409,0.44
,,,,,,,,,,,,,,,,,,,,313,'DIP2C',0.631,0.345,0.399
,,,,,,,,,,,,,,,,,,,,314,'TSC22D4',0.63,0.531,0.521
,,,,,,,,,,,,,,,,,,,,315,'IER5L',0.63,0.169,0.323
,,,,,,,,,,,,,,,,,,,,316,'BCAR1',0.63,0.502,0.352
,,,,,,,,,,,,,,,,,,,,317,'MFSD3',0.629,0.499,0.443
,,,,,,,,,,,,,,,,,,,,318,'ATP11A',0.628,0.203,0.371
,,,,,,,,,,,,,,,,,,,,319,'SIGIRR',0.628,0.452,0.045
,,,,,,,,,,,,,,,,,,,,320,'NOC2L',0.628,0.413,-0.291
,,,,,,,,,,,,,,,,,,,,321,'CUEDC1',0.627,0.553,-0.275
,,,,,,,,,,,,,,,,,,,,322,'GSK3A',0.627,0.526,-0.321
,,,,,,,,,,,,,,,,,,,,323,'PHF5A',0.627,0.493,-0.119
,,,,,,,,,,,,,,,,,,,,324,'EIF3G',0.627,0.386,-0.137
,,,,,,,,,,,,,,,,,,,,325,'CCDC92',0.626,0.39,-0.188
,,,,,,,,,,,,,,,,,,,,326,'GALE',0.626,0.316,0.774
,,,,,,,,,,,,,,,,,,,,327,'RHBDD3',0.626,0.376,0.773
,,,,,,,,,,,,,,,,,,,,328,'MYRF',0.625,0.263,0.447
,,,,,,,,,,,,,,,,,,,,329,'ENTPD2',0.625,0.405,0.615
,,,,,,,,,,,,,,,,,,,,330,'SLC44A2',0.625,0.177,0.486
,,,,,,,,,,,,,,,,,,,,331,'TLE2',0.625,0.559,0.69
,,,,,,,,,,,,,,,,,,,,332,'OAF',0.624,0.118,0.299
,,,,,,,,,,,,,,,,,,,,333,'SRSF9',0.624,0.443,0.664
,,,,,,,,,,,,,,,,,,,,334,'TMEM63B',0.624,0.476,0.663
,,,,,,,,,,,,,,,,,,,,335,'FGFR1',0.624,0.392,0.686
,,,,,,,,,,,,,,,,,,,,336,'ZFP36',0.624,0.376,0.504
,,,,,,,,,,,,,,,,,,,,337,'VASP',0.623,0.431,0.578
,,,,,,,,,,,,,,,,,,,,338,'RALY',0.623,0.4,0.657
,,,,,,,,,,,,,,,,,,,,339,'TMC4',0.623,0.4,0.711
,,,,,,,,,,,,,,,,,,,,340,'SPSB2',0.623,0.427,0.121
,,,,,,,,,,,,,,,,,,,,341,'ATP13A1',0.622,0.487,0.091
,,,,,,,,,,,,,,,,,,,,342,'APRT',0.622,0.508,0.666
,,,,,,,,,,,,,,,,,,,,343,'ARFGAP1',0.622,0.456,0.42
,,,,,,,,,,,,,,,,,,,,344,'STK16',0.622,0.493,0.612
,,,,,,,,,,,,,,,,,,,,345,'SRC',0.621,0.418,0.573
,,,,,,,,,,,,,,,,,,,,346,'PACS1',0.62,0.441,0.575
,,,,,,,,,,,,,,,,,,,,347,'ZNF503',0.62,0.194,0.501
,,,,,,,,,,,,,,,,,,,,348,'SCAND1',0.62,0.563,0.576
,,,,,,,,,,,,,,,,,,,,349,'FN3K',0.62,0.542,0.516
,,,,,,,,,,,,,,,,,,,,350,'GPX1',0.62,0.453,0.241
,,,,,,,,,,,,,,,,,,,,351,'C19orf24',0.62,0.505,0.648
,,,,,,,,,,,,,,,,,,,,352,'GNAI2',0.62,0.538,0.527
,,,,,,,,,,,,,,,,,,,,353,'MEGF8',0.619,0.361,0.704
,,,,,,,,,,,,,,,,,,,,354,'PKM',0.619,0.483,0.571
,,,,,,,,,,,,,,,,,,,,355,'ACIN1',0.619,0.348,0.418
,,,,,,,,,,,,,,,,,,,,356,'TRAF4',0.618,0.5,0.649
,,,,,,,,,,,,,,,,,,,,357,'C10orf54',0.618,0.137,0.652
,,,,,,,,,,,,,,,,,,,,358,'MFI2',0.618,0.235,0.567
,,,,,,,,,,,,,,,,,,,,359,'STK25',0.618,0.44,0.634
,,,,,,,,,,,,,,,,,,,,360,'PRPF19',0.618,0.454,0.581
,,,,,,,,,,,,,,,,,,,,361,'BCL3',0.618,0.393,0.4
,,,,,,,,,,,,,,,,,,,,362,'RPL29',0.617,0.506,0.404
,,,,,,,,,,,,,,,,,,,,363,'TMEM102',0.617,0.329,0.242
,,,,,,,,,,,,,,,,,,,,364,'NCKIPSD',0.617,0.43,0.596
,,,,,,,,,,,,,,,,,,,,365,'KIF12',0.617,0.502,0.641
,,,,,,,,,,,,,,,,,,,,366,'POLR2L',0.617,0.558,0.644
,,,,,,,,,,,,,,,,,,,,367,'CLSTN1',0.616,0.483,0.437
,,,,,,,,,,,,,,,,,,,,368,'PELP1',0.616,0.431,0.665
,,,,,,,,,,,,,,,,,,,,369,'BACE2',0.616,0.371,0.396
,,,,,,,,,,,,,,,,,,,,370,'RAD23A',0.615,0.53,0.51
,,,,,,,,,,,,,,,,,,,,371,'PSMD3',0.615,0.489,0.214
,,,,,,,,,,,,,,,,,,,,372,'DOK4',0.615,0.381,0.242
,,,,,,,,,,,,,,,,,,,,373,'TPRA1',0.615,0.401,0.415
,,,,,,,,,,,,,,,,,,,,374,'SRCAP',0.614,0.419,0.566
,,,,,,,,,,,,,,,,,,,,375,'MOGS',0.614,0.52,0.32
,,,,,,,,,,,,,,,,,,,,376,'KMT2D',0.613,0.452,0.368
,,,,,,,,,,,,,,,,,,,,377,'COL18A1',0.613,0.033,0.658
,,,,,,,,,,,,,,,,,,,,378,'MFSD10',0.613,0.531,0.574
,,,,,,,,,,,,,,,,,,,,379,'MMP15',0.613,0.44,0.129
,,,,,,,,,,,,,,,,,,,,380,'CKAP4',0.613,0.411,0.657
,,,,,,,,,,,,,,,,,,,,381,'LZTR1',0.613,0.391,0.412
,,,,,,,,,,,,,,,,,,,,382,'NEURL1',0.612,0.487,0.631
,,,,,,,,,,,,,,,,,,,,383,'CX3CL1',0.612,0.179,0.476
,,,,,,,,,,,,,,,,,,,,384,'KLHL26',0.612,0.33,0.672
,,,,,,,,,,,,,,,,,,,,385,'PIM3',0.612,0.502,0.569
,,,,,,,,,,,,,,,,,,,,386,'PTTG1IP',0.611,0.344,0.63
,,,,,,,,,,,,,,,,,,,,387,'SLC9A8',0.611,0.415,0.617
,,,,,,,,,,,,,,,,,,,,388,'NOP14-AS1',0.61,0.374,0.411
,,,,,,,,,,,,,,,,,,,,389,'DDX23',0.61,0.295,0.613
,,,,,,,,,,,,,,,,,,,,390,'GRN',0.61,0.488,0.618
,,,,,,,,,,,,,,,,,,,,391,'PPP6R1',0.61,0.517,0.639
,,,,,,,,,,,,,,,,,,,,392,'DHX32',0.61,0.272,0.469
,,,,,,,,,,,,,,,,,,,,393,'PFKL',0.61,0.552,0.646
,,,,,,,,,,,,,,,,,,,,394,'TPT1',0.609,0.368,0.469
,,,,,,,,,,,,,,,,,,,,395,'PPP1R12C',0.609,0.472,0.594
,,,,,,,,,,,,,,,,,,,,396,'GATS',0.609,0.335,0.626
,,,,,,,,,,,,,,,,,,,,397,'SFT2D3',0.609,0.362,0.588
,,,,,,,,,,,,,,,,,,,,398,'SNF8',0.609,0.494,0.568
,,,,,,,,,,,,,,,,,,,,399,'TAF6',0.608,0.445,0.623
,,,,,,,,,,,,,,,,,,,,400,'CREB3L1',0.608,0.239,0.54
,,,,,,,,,,,,,,,,,,,,401,'REPIN1',0.608,0.463,0.434
,,,,,,,,,,,,,,,,,,,,402,'UCK1',0.608,0.412,0.481
,,,,,,,,,,,,,,,,,,,,403,'TRAPPC12',0.607,0.436,0.637
,,,,,,,,,,,,,,,,,,,,404,'C9orf89',0.607,0.385,0.587
,,,,,,,,,,,,,,,,,,,,405,'GANAB',0.607,0.51,0.305
,,,,,,,,,,,,,,,,,,,,406,'CIRBP',0.606,0.317,0.413
,,,,,,,,,,,,,,,,,,,,407,'DTX3',0.606,0.529,0.649
,,,,,,,,,,,,,,,,,,,,408,'TRIM26',0.605,0.313,0.597
,,,,,,,,,,,,,,,,,,,,409,'CCDC97',0.605,0.348,0.563
,,,,,,,,,,,,,,,,,,,,410,'VASN',0.605,0.227,0.209
,,,,,,,,,,,,,,,,,,,,411,'SGSM3',0.605,0.44,0.64
,,,,,,,,,,,,,,,,,,,,412,'SPNS1',0.605,0.49,0.569
,,,,,,,,,,,,,,,,,,,,413,'FAM210B',0.605,0.346,0.624
,,,,,,,,,,,,,,,,,,,,414,'LOC407835',0.604,0.41,0.618
,,,,,,,,,,,,,,,,,,,,415,'CITED2',0.604,0.483,0.245
,,,,,,,,,,,,,,,,,,,,416,'ETHE1',0.604,0.358,0.37
,,,,,,,,,,,,,,,,,,,,417,'PTPN6',0.604,0.301,0.638
,,,,,,,,,,,,,,,,,,,,418,'C19orf66',0.604,0.418,0.559
,,,,,,,,,,,,,,,,,,,,419,'CAPNS1',0.603,0.131,0.581
,,,,,,,,,,,,,,,,,,,,420,'DALRD3',0.603,0.391,0.351
,,,,,,,,,,,,,,,,,,,,421,'LLGL2',0.603,0.382,0.526
,,,,,,,,,,,,,,,,,,,,422,'ZDHHC1',0.603,0.516,0.334
,,,,,,,,,,,,,,,,,,,,423,'TMEM63A',0.602,0.123,0.457
,,,,,,,,,,,,,,,,,,,,424,'PIP5K1C',0.602,0.355,0.498
,,,,,,,,,,,,,,,,,,,,425,'PARP10',0.601,0.419,0.458
,,,,,,,,,,,,,,,,,,,,426,'SBNO2',0.601,0.337,0.546
,,,,,,,,,,,,,,,,,,,,427,'COPRS',0.601,0.43,0.625
,,,,,,,,,,,,,,,,,,,,428,'ZMIZ2',0.601,0.387,0.593
,,,,,,,,,,,,,,,,,,,,429,'CAPS',0.601,0.295,0.385
,,,,,,,,,,,,,,,,,,,,430,'TOM1',0.6,0.444,0.63
,,,,,,,,,,,,,,,,,,,,431,'DNAJB2',0.6,0.44,0.55
,,,,,,,,,,,,,,,,,,,,432,'NDN',0.6,0.428,0.521
,,,,,,,,,,,,,,,,,,,,433,'LAMP2',-0.601,-0.315,0.145
,,,,,,,,,,,,,,,,,,,,434,'ENPP2',-0.602,-0.321,0.496
,,,,,,,,,,,,,,,,,,,,435,'SDHD',-0.615,-0.357,0.492
,,,,,,,,,,,,,,,,,,,,436,'CD164',-0.617,-0.363,0.471
,,,,,,,,,,,,,,,,,,,,437,'TMBIM6',-0.618,-0.245,0.476
,,,,,,,,,,,,,,,,,,,,438,'ANXA5',-0.622,-0.337,0.374
,,,,,,,,,,,,,,,,,,,,439,'ARL6IP5',-0.632,-0.231,0.585
,,,,,,,,,,,,,,,,,,,,440,'PPY',-0.633,-0.56,0.363
,,,,,,,,,,,,,,,,,,,,441,'PSMA2',-0.633,-0.294,0.061
,,,,,,,,,,,,,,,,,,,,442,'SET',-0.642,-0.575,0.168
,,,,,,,,,,,,,,,,,,,,443,'VPS29',-0.643,-0.279,0.353
,,,,,,,,,,,,,,,,,,,,444,'UGT2B17',-0.645,-0.116,0.592
,,,,,,,,,,,,,,,,,,,,445,'SCP2',-0.654,-0.35,0.576
,,,,,,,,,,,,,,,,,,,,446,'ATP6V1G1',-0.658,-0.517,0.627
,,,,,,,,,,,,,,,,,,,,447,'CAPZA1',-0.658,-0.489,0.538
,,,,,,,,,,,,,,,,,,,,448,'DAZAP2',-0.661,-0.256,0.559
,,,,,,,,,,,,,,,,,,,,449,'DDX5',-0.664,-0.556,0.608
,,,,,,,,,,,,,,,,,,,,450,'C6orf62',-0.669,-0.364,0.574
,,,,,,,,,,,,,,,,,,,,451,'TSPYL1',-0.674,-0.553,0.51
,,,,,,,,,,,,,,,,,,,,452,'PRDX3',-0.676,-0.474,0.518
,,,,,,,,,,,,,,,,,,,,453,'ANXA2P1',-0.678,-0.226,0.593
,,,,,,,,,,,,,,,,,,,,454,'H3F3B',-0.683,-0.536,0.43
,,,,,,,,,,,,,,,,,,,,455,'CNN3',-0.689,-0.033,0.587
,,,,,,,,,,,,,,,,,,,,456,'ASAH1',-0.694,-0.389,0.502
,,,,,,,,,,,,,,,,,,,,457,'SKP1P2',-0.7,-0.364,0.417
,,,,,,,,,,,,,,,,,,,,458,'ARPC5',-0.714,-0.366,0.511
,,,,,,,,,,,,,,,,,,,,459,'B2M',-0.732,-0.399,0.306
,,,,,,,,,,,,,,,,,,,,460,'PPP1CB',-0.736,-0.524,0.18
,,,,,,,,,,,,,,,,,,,,461,'SKP1',-0.778,-0.43,0.534
,,,,,,,,,,,,,,,,,,,,462,'SRP9',-0.786,-0.605,0.571
,,,,,,,,,,,,,,,,,,,,463,'SDCBP',-0.799,-0.284,0.471
,,,,,,,,,,,,,,,,,,,,,,,,0.501
,,,,,,,,,,,,,,,,,,,,,,,,0.48
,,,,,,,,,,,,,,,,,,,,,,,,0.614
,,,,,,,,,,,,,,,,,,,,,,,,0.33
,,,,,,,,,,,,,,,,,,,,,,,,0.383
,,,,,,,,,,,,,,,,,,,,,,,,0.556
,,,,,,,,,,,,,,,,,,,,,,,,0.488
,,,,,,,,,,,,,,,,,,,,,,,,0.135
,,,,,,,,,,,,,,,,,,,,,,,,0.543
,,,,,,,,,,,,,,,,,,,,,,,,0.48
,,,,,,,,,,,,,,,,,,,,,,,,0.4
,,,,,,,,,,,,,,,,,,,,,,,,0.544
,,,,,,,,,,,,,,,,,,,,,,,,0.537
,,,,,,,,,,,,,,,,,,,,,,,,0.278
,,,,,,,,,,,,,,,,,,,,,,,,0.57
,,,,,,,,,,,,,,,,,,,,,,,,0.407
,,,,,,,,,,,,,,,,,,,,,,,,0.424
,,,,,,,,,,,,,,,,,,,,,,,,0.323
,,,,,,,,,,,,,,,,,,,,,,,,0.168
,,,,,,,,,,,,,,,,,,,,,,,,0.373
,,,,,,,,,,,,,,,,,,,,,,,,0.361
,,,,,,,,,,,,,,,,,,,,,,,,0.133
,,,,,,,,,,,,,,,,,,,,,,,,0.47
,,,,,,,,,,,,,,,,,,,,,,,,0.475
,,,,,,,,,,,,,,,,,,,,,,,,0.276
,,,,,,,,,,,,,,,,,,,,,,,,0.484
,,,,,,,,,,,,,,,,,,,,,,,,0.459
,,,,,,,,,,,,,,,,,,,,,,,,0.538
,,,,,,,,,,,,,,,,,,,,,,,,0.431
,,,,,,,,,,,,,,,,,,,,,,,,0.576
,,,,,,,,,,,,,,,,,,,,,,,,0.528
,,,,,,,,,,,,,,,,,,,,,,,,0.389
,,,,,,,,,,,,,,,,,,,,,,,,0.449
,,,,,,,,,,,,,,,,,,,,,,,,0.124
,,,,,,,,,,,,,,,,,,,,,,,,0.551
,,,,,,,,,,,,,,,,,,,,,,,,0.371
,,,,,,,,,,,,,,,,,,,,,,,,0.37
,,,,,,,,,,,,,,,,,,,,,,,,0.512
,,,,,,,,,,,,,,,,,,,,,,,,0.25
,,,,,,,,,,,,,,,,,,,,,,,,0.603
,,,,,,,,,,,,,,,,,,,,,,,,0.613
,,,,,,,,,,,,,,,,,,,,,,,,0.536
,,,,,,,,,,,,,,,,,,,,,,,,0.524
,,,,,,,,,,,,,,,,,,,,,,,,0.573
,,,,,,,,,,,,,,,,,,,,,,,,0.452
,,,,,,,,,,,,,,,,,,,,,,,,0.58
,,,,,,,,,,,,,,,,,,,,,,,,0.45
,,,,,,,,,,,,,,,,,,,,,,,,0.47
,,,,,,,,,,,,,,,,,,,,,,,,0.422
,,,,,,,,,,,,,,,,,,,,,,,,0.36
,,,,,,,,,,,,,,,,,,,,,,,,0.497
,,,,,,,,,,,,,,,,,,,,,,,,0.461
,,,,,,,,,,,,,,,,,,,,,,,,0.487
,,,,,,,,,,,,,,,,,,,,,,,,0.588
,,,,,,,,,,,,,,,,,,,,,,,,0.323
,,,,,,,,,,,,,,,,,,,,,,,,0.517
,,,,,,,,,,,,,,,,,,,,,,,,0.555
,,,,,,,,,,,,,,,,,,,,,,,,0.539
,,,,,,,,,,,,,,,,,,,,,,,,0.347
,,,,,,,,,,,,,,,,,,,,,,,,0.49
,,,,,,,,,,,,,,,,,,,,,,,,0.516
,,,,,,,,,,,,,,,,,,,,,,,,0.474
,,,,,,,,,,,,,,,,,,,,,,,,0.494
,,,,,,,,,,,,,,,,,,,,,,,,0.394
,,,,,,,,,,,,,,,,,,,,,,,,0.341
,,,,,,,,,,,,,,,,,,,,,,,,0.404
,,,,,,,,,,,,,,,,,,,,,,,,0.483
,,,,,,,,,,,,,,,,,,,,,,,,0.519
,,,,,,,,,,,,,,,,,,,,,,,,0.406
,,,,,,,,,,,,,,,,,,,,,,,,0.373
,,,,,,,,,,,,,,,,,,,,,,,,0.455
,,,,,,,,,,,,,,,,,,,,,,,,0.461
,,,,,,,,,,,,,,,,,,,,,,,,0.461
,,,,,,,,,,,,,,,,,,,,,,,,0.547
,,,,,,,,,,,,,,,,,,,,,,,,0.466
,,,,,,,,,,,,,,,,,,,,,,,,0.429
,,,,,,,,,,,,,,,,,,,,,,,,0.347
,,,,,,,,,,,,,,,,,,,,,,,,0.346
,,,,,,,,,,,,,,,,,,,,,,,,0.503
,,,,,,,,,,,,,,,,,,,,,,,,0.391
,,,,,,,,,,,,,,,,,,,,,,,,0.456
,,,,,,,,,,,,,,,,,,,,,,,,0.492
,,,,,,,,,,,,,,,,,,,,,,,,0.2
,,,,,,,,,,,,,,,,,,,,,,,,0.342
,,,,,,,,,,,,,,,,,,,,,,,,0.175
,,,,,,,,,,,,,,,,,,,,,,,,0.352
,,,,,,,,,,,,,,,,,,,,,,,,0.541
,,,,,,,,,,,,,,,,,,,,,,,,0.311
,,,,,,,,,,,,,,,,,,,,,,,,0.238
,,,,,,,,,,,,,,,,,,,,,,,,0.553
,,,,,,,,,,,,,,,,,,,,,,,,0.428
,,,,,,,,,,,,,,,,,,,,,,,,0.429
,,,,,,,,,,,,,,,,,,,,,,,,0.11
,,,,,,,,,,,,,,,,,,,,,,,,0.536
,,,,,,,,,,,,,,,,,,,,,,,,0.463
,,,,,,,,,,,,,,,,,,,,,,,,0.436
,,,,,,,,,,,,,,,,,,,,,,,,0.493
,,,,,,,,,,,,,,,,,,,,,,,,0.582
,,,,,,,,,,,,,,,,,,,,,,,,0.381
,,,,,,,,,,,,,,,,,,,,,,,,0.382
,,,,,,,,,,,,,,,,,,,,,,,,0.494
,,,,,,,,,,,,,,,,,,,,,,,,0.376
,,,,,,,,,,,,,,,,,,,,,,,,0.498
,,,,,,,,,,,,,,,,,,,,,,,,0.399
,,,,,,,,,,,,,,,,,,,,,,,,0.566
,,,,,,,,,,,,,,,,,,,,,,,,0.416
,,,,,,,,,,,,,,,,,,,,,,,,0.403
,,,,,,,,,,,,,,,,,,,,,,,,0.535
,,,,,,,,,,,,,,,,,,,,,,,,0.561
,,,,,,,,,,,,,,,,,,,,,,,,0.352
,,,,,,,,,,,,,,,,,,,,,,,,0.385
,,,,,,,,,,,,,,,,,,,,,,,,0.129
,,,,,,,,,,,,,,,,,,,,,,,,0.539
,,,,,,,,,,,,,,,,,,,,,,,,0.549
,,,,,,,,,,,,,,,,,,,,,,,,0.563
,,,,,,,,,,,,,,,,,,,,,,,,0.472
,,,,,,,,,,,,,,,,,,,,,,,,0.458
,,,,,,,,,,,,,,,,,,,,,,,,0.473
,,,,,,,,,,,,,,,,,,,,,,,,0.432
,,,,,,,,,,,,,,,,,,,,,,,,0.501
,,,,,,,,,,,,,,,,,,,,,,,,0.586
,,,,,,,,,,,,,,,,,,,,,,,,0.588
,,,,,,,,,,,,,,,,,,,,,,,,0.444
,,,,,,,,,,,,,,,,,,,,,,,,0.307
,,,,,,,,,,,,,,,,,,,,,,,,0.537
,,,,,,,,,,,,,,,,,,,,,,,,0.456
,,,,,,,,,,,,,,,,,,,,,,,,0.532
,,,,,,,,,,,,,,,,,,,,,,,,0.464
,,,,,,,,,,,,,,,,,,,,,,,,0.467
,,,,,,,,,,,,,,,,,,,,,,,,0.439
,,,,,,,,,,,,,,,,,,,,,,,,0.518
,,,,,,,,,,,,,,,,,,,,,,,,0.292
,,,,,,,,,,,,,,,,,,,,,,,,0.516
,,,,,,,,,,,,,,,,,,,,,,,,0.408
,,,,,,,,,,,,,,,,,,,,,,,,0.58
,,,,,,,,,,,,,,,,,,,,,,,,0.259
,,,,,,,,,,,,,,,,,,,,,,,,0.405
,,,,,,,,,,,,,,,,,,,,,,,,0.486
,,,,,,,,,,,,,,,,,,,,,,,,0.317
,,,,,,,,,,,,,,,,,,,,,,,,0.441
,,,,,,,,,,,,,,,,,,,,,,,,0.467
,,,,,,,,,,,,,,,,,,,,,,,,0.248
,,,,,,,,,,,,,,,,,,,,,,,,0.502
,,,,,,,,,,,,,,,,,,,,,,,,0.516
,,,,,,,,,,,,,,,,,,,,,,,,0.581
,,,,,,,,,,,,,,,,,,,,,,,,0.401
,,,,,,,,,,,,,,,,,,,,,,,,0.361
,,,,,,,,,,,,,,,,,,,,,,,,0.455
,,,,,,,,,,,,,,,,,,,,,,,,0.112
,,,,,,,,,,,,,,,,,,,,,,,,0.381
,,,,,,,,,,,,,,,,,,,,,,,,0.434
,,,,,,,,,,,,,,,,,,,,,,,,0.431
