geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	rank	geneIDs	correlation	p-value	adj p-value	RefSeq	RPKM
																		1647	'TNFRSF1A'	0.35	6.59E-27	7.75E-25	224828	8483
																		1648	'CLCN6'	0.35	6.61E-27	7.77E-25	251450	6353
																		1649	'RFWD2'	0.35	6.77E-27	7.95E-25	142094	6222
																		1650	'BSPRY'	0.35	6.78E-27	7.96E-25	317141	8395
																		1651	'SIPA1L3'	0.35	6.89E-27	8.09E-25	132690	6807
																		1652	'DANCR'	0.35	7.22E-27	8.47E-25	676679	7097
																		1653	'UBXN6'	0.35	7.35E-27	8.62E-25	335236	6894
																		1654	'CHMP6'	0.35	7.51E-27	8.80E-25	21923	2387
																		1655	'SARM1'	0.35	7.55E-27	8.84E-25	193758	6540
																		1656	'TOM1L2'	0.35	7.70E-27	9.01E-25	355684	6555
																		1657	'ZNF718'	0.35	7.73E-27	9.04E-25	224088	7008
																		1658	'NOP14'	0.35	8.17E-27	9.54E-25	177393	6692
																		1659	'FBXO41'	0.35	8.30E-27	9.70E-25	149769	7123
																		1660	'YBEY'	0.35	8.44E-27	9.85E-25	183863	6687
																		1661	'FARP1'	0.35	8.47E-27	9.88E-25	147900	7084
																		1662	'PLEKHM2'	0.35	8.57E-27	9.99E-25	213137	6412
																		1663	'CCDC64'	0.35	8.64E-27	1.01E-24	256637	8112
																		1664	'FDX1L'	0.35	8.68E-27	1.01E-24	103832	7535
																		1665	'TMEM51'	0.35	8.68E-27	1.01E-24	193601	7366
																		1666	'NAA10'	0.35	8.76E-27	1.02E-24	349578	6773
																		1667	'ST3GAL1'	0.35	8.77E-27	1.02E-24	218886	7324
																		1668	'DCAF15'	0.35	8.82E-27	1.02E-24	223552	7229
																		1669	'ARHGAP35'	0.35	9.13E-27	1.06E-24	231244	7861
																		1670	'ANKRD65'	0.35	9.24E-27	1.07E-24	241289	6486
																		1671	'SMARCD2'	0.35	9.31E-27	1.08E-24	114512	6892
																		1672	'TIMP1'	0.35	1.02E-26	1.18E-24	215004	8132
																		1673	'C7orf49'	0.35	1.03E-26	1.19E-24	151830	7829
																		1674	'ACBD4'	0.35	1.03E-26	1.19E-24	199024	6486
																		1675	'FKRP'	0.35	1.03E-26	1.19E-24	142284	5828
																		1676	'TECPR1'	0.35	1.03E-26	1.19E-24	136437	8091
																		1677	'B3GNT8'	0.35	1.04E-26	1.20E-24	106927	6691
																		1678	'ACTN1'	0.35	1.04E-26	1.20E-24	226941	7397
																		1679	'MCCC2'	0.35	1.06E-26	1.22E-24	250397	7365
																		1680	'PCNXL3'	0.35	1.06E-26	1.22E-24	181095	6017
																		1681	'SLC6A9'	0.35	1.07E-26	1.23E-24	137537	6672
																		1682	'CARS2'	0.35	1.11E-26	1.27E-24	231022	8360
																		1683	'ENDOD1'	0.35	1.11E-26	1.28E-24	459394	7186
																		1684	'RPS4X'	0.35	1.14E-26	1.31E-24	258012	6504
																		1685	'RNF150'	0.35	1.15E-26	1.32E-24	223562	7934
																		1686	'SLC30A5'	0.35	1.15E-26	1.33E-24	177588	7735
																		1687	'TRIM11'	0.35	1.18E-26	1.36E-24	407423	8067
																		1688	'NMNAT3'	0.35	1.20E-26	1.37E-24	379302	7597
																		1689	'SYVN1'	0.35	1.20E-26	1.38E-24	445685	8373
																		1690	'VPS52'	0.35	1.22E-26	1.39E-24	162266	8098
																		1691	'SYNGR2'	0.35	1.23E-26	1.41E-24	377953	6958
																		1692	'FBXO44'	0.35	1.23E-26	1.41E-24	174148	7681
																		1693	'EHD1'	0.35	1.25E-26	1.43E-24	415737	7151
																		1694	'MAPKAPK3'	0.35	1.26E-26	1.44E-24	368759	7042
																		1695	'SETD5'	0.35	1.27E-26	1.45E-24	200375	6308
																		1696	'LZTS2'	0.35	1.27E-26	1.45E-24	341251	5999
																		1697	'SNORA12'	0.35	1.28E-26	1.46E-24	407272	7392
																		1698	'HPN'	0.35	1.32E-26	1.51E-24	205406	7740
																		1699	'INPP1'	0.35	1.36E-26	1.55E-24	276754	6066
																		1700	'AGTRAP'	0.35	1.39E-26	1.59E-24	153020	6493
																		1701	'CANT1'	0.35	1.41E-26	1.60E-24	285753	6285
																		1702	'PATL1'	0.35	1.43E-26	1.63E-24	469491	7064
																		1703	'SLC4A2'	0.35	1.43E-26	1.63E-24	330554	7205
																		1704	'IGFBP7'	0.35	1.44E-26	1.64E-24	222006	6550
																		1705	'SMIM1'	0.35	1.44E-26	1.64E-24	441021	7069
																		1706	'HN1L'	0.35	1.51E-26	1.71E-24	459395	6958
																		1707	'TBC1D5'	0.35	1.55E-26	1.76E-24	352278	6863
																		1708	'SH3KBP1'	0.35	1.56E-26	1.77E-24	309852	7133
																		1709	'COL9A2'	0.35	1.57E-26	1.78E-24	450533	6215
																		1710	'CTDP1'	0.35	1.58E-26	1.79E-24	341562	7160
																		1711	'PTPRD'	0.35	1.60E-26	1.82E-24	454661	7197
																		1712	'YIPF3'	0.35	1.62E-26	1.84E-24	290350	6779
																		1713	'SOBP'	0.35	1.68E-26	1.90E-24	139323	4137
																		1714	'ARRB2'	0.35	1.72E-26	1.95E-24	227487	6698
																		1715	'SMYD5'	0.35	1.74E-26	1.96E-24	208667	6001
																		1716	'CLUH'	0.35	1.74E-26	1.97E-24	203913	6853
																		1717	'EHMT1'	0.35	1.75E-26	1.97E-24	410068	6899
																		1718	'TBC1D14'	0.35	1.76E-26	1.98E-24	198027	6164
																		1719	'LMBR1L'	0.35	1.76E-26	1.98E-24	199677	7155
																		1720	'CRELD1'	0.35	1.81E-26	2.04E-24	267018	4192
																		1721	'RNF26'	0.35	1.87E-26	2.11E-24	377317	6595
																		1722	'TAB1'	0.35	1.90E-26	2.13E-24	138971	8548
																		1723	'KLHL23'	0.35	1.94E-26	2.18E-24	190510	7588
																		1724	'MSI2'	0.35	2.00E-26	2.25E-24	204442	6779
																		1725	'ZNF770'	0.35	2.12E-26	2.38E-24	401611	6658
																		1726	'COQ4'	0.35	2.16E-26	2.43E-24	268638	6654
																		1727	'PYGB'	0.35	2.25E-26	2.52E-24	229915	7790
																		1728	'DNASE2'	0.35	2.32E-26	2.60E-24	163412	6806
																		1729	'FBXW11'	0.35	2.33E-26	2.61E-24	305652	8513
																		1730	'KDF1'	0.35	2.41E-26	2.70E-24	189566	7441
																		1731	'PPP1R3C'	0.35	2.60E-26	2.91E-24	247649	7050
																		1732	'ZNF692'	0.35	2.72E-26	3.05E-24	182365	8508
																		1733	'MRPL10'	0.35	2.75E-26	3.07E-24	268930	6999
																		1734	'PGAP3'	0.35	2.77E-26	3.10E-24	195601	6726
																		1735	'TRIB3'	0.35	2.78E-26	3.10E-24	359770	7003
																		1736	'ATOX1'	0.35	2.83E-26	3.16E-24	267794	8250
																		1737	'RAB40B'	0.35	2.91E-26	3.25E-24	359627	6779
																		1738	'CCS'	0.35	2.99E-26	3.34E-24	210731	7150
																		1739	'GATAD2B'	0.35	3.04E-26	3.39E-24	293753	7542
																		1740	'BAD'	0.35	3.06E-26	3.40E-24	160764	7550
																		1741	'TNIP2'	0.35	3.12E-26	3.48E-24	191327	6782
																		1742	'POM121C'	0.35	3.24E-26	3.60E-24	485514	7203
																		1743	'LARP6'	0.35	3.34E-26	3.71E-24	232396	6586
																		1744	'CBFA2T2'	0.35	3.37E-26	3.75E-24	156520	1836
																		1745	'FBXW8'	0.35	3.44E-26	3.82E-24	145682	7047
																		1746	'LMF1'	0.35	3.44E-26	3.82E-24	250132	7332
																		1747	'AMPD2'	0.35	3.71E-26	4.11E-24	458865	6632
																		1748	'RMND5B'	0.35	3.72E-26	4.13E-24	256351	5778
																		1749	'RNF135'	0.35	3.83E-26	4.24E-24	146639	6408
																		1750	'TM9SF4'	0.35	3.90E-26	4.32E-24	375348	7654
																		1751	'TTLL7'	0.35	3.98E-26	4.40E-24	89998	7482
																		1752	'DENND1A'	0.35	4.08E-26	4.51E-24	252691	7600
																		1753	'SLC7A8'	0.35	4.33E-26	4.79E-24	335362	6609
																		1754	'NUPR1L'	0.35	4.36E-26	4.82E-24	230835	7861
																		1755	'DBNL'	0.35	4.38E-26	4.83E-24	256042	7056
																		1756	'ABHD4'	0.35	4.45E-26	4.91E-24	251395	8419
																		1757	'IFI30'	0.35	4.49E-26	4.95E-24	193367	7250
																		1758	'KLHL11'	0.35	4.51E-26	4.97E-24	99348	7266
																		1759	'SYCE1L'	0.35	4.61E-26	5.07E-24	453224	6536
																		1760	'SRRD'	0.35	4.64E-26	5.11E-24	286141	5395
																		1761	'BCAT2'	0.35	4.89E-26	5.38E-24	324560	7126
																		1762	'NMB'	0.35	5.07E-26	5.57E-24	194316	7315
																		1763	'TLE6'	0.35	5.12E-26	5.63E-24	163940	7862
																		1764	'SMAP2'	0.35	5.13E-26	5.63E-24	207557	7648
																		1765	'PHYKPL'	0.35	5.22E-26	5.73E-24	331790	8665
																		1766	'LOC440434'	0.35	5.33E-26	5.84E-24	223751	6757
																		1767	'TMEM125'	0.35	5.49E-26	6.02E-24	250145	6882
																		1768	'CCDC97'	0.35	5.68E-26	6.22E-24	231823	6608
																		1769	'NOB1'	0.35	5.82E-26	6.37E-24	233183	7203
																		1770	'ADIPOR2'	0.35	5.84E-26	6.39E-24	211421	6885
																		1771	'ACIN1'	0.35	5.88E-26	6.43E-24	276004	6670
																		1772	'MXI1'	0.35	5.90E-26	6.45E-24	362085	7226
																		1773	'CHERP'	0.35	6.09E-26	6.65E-24	264772	6456
																		1774	'SUV420H2'	0.35	6.09E-26	6.65E-24	267979	6602
																		1775	'LPHN1'	0.35	6.36E-26	6.94E-24	127382	6347
																		1776	'FADD'	0.35	6.39E-26	6.96E-24	234374	8307
																		1777	'ACD'	0.35	6.49E-26	7.08E-24	136218	6526
																		1778	'COL6A1'	0.35	6.51E-26	7.09E-24	234626	6434
																		1779	'LRRC47'	0.35	6.70E-26	7.29E-24	160443	7806
																		1780	'SUSD4'	0.35	6.77E-26	7.36E-24	358774	5416
																		1781	'RNF166'	0.35	6.82E-26	7.41E-24	316024	6387
																		1782	'ATG2A'	0.35	6.93E-26	7.53E-24	192044	7004
																		1783	'ARRDC2'	0.35	7.02E-26	7.62E-24	285973	7069
																		1784	'MARK4'	0.35	7.27E-26	7.89E-24	334582	7415
																		1785	'LRRC59'	0.35	7.27E-26	7.89E-24	224907	8599
																		1786	'TAX1BP3'	0.35	7.57E-26	8.20E-24	178271	8219
																		1787	'SMDT1'	0.35	7.61E-26	8.25E-24	184387	8143
																		1788	'GIT1'	0.35	7.64E-26	8.27E-24	208968	7526
																		1789	'HDGF'	0.35	7.64E-26	8.27E-24	153101	7641
																		1790	'EFEMP2'	0.35	7.67E-26	8.30E-24	307131	7033
																		1791	'TXLNA'	0.35	7.74E-26	8.37E-24	254790	8257
																		1792	'DNAJC21'	0.35	8.02E-26	8.67E-24	242278	7698
																		1793	'LINC00467'	0.35	8.07E-26	8.72E-24	352701	6782
																		1794	'TIMM50'	0.35	8.09E-26	8.73E-24	210902	5044
																		1795	'ABHD16A'	0.35	8.12E-26	8.77E-24	133961	7682
																		1796	'SAMM50'	0.35	8.54E-26	9.21E-24	198062	7564
																		1797	'N4BP1'	0.35	8.72E-26	9.40E-24	303371	7130
																		1798	'KCNK3'	0.35	8.79E-26	9.47E-24	154709	6297
																		1799	'SNX9'	0.35	9.27E-26	9.98E-24	233049	8327
																		1800	'LEPREL2'	0.35	9.68E-26	1.04E-23	162386	5176
																		1801	'PEX16'	0.35	9.96E-26	1.07E-23	347748	6940
																		1802	'KEAP1'	0.35	9.99E-26	1.07E-23	153286	8062
																		1803	'GTF2H4'	0.35	1.01E-25	1.09E-23	348188	6393
																		1804	'ATP1A1'	0.35	1.01E-25	1.09E-23	460773	6368
																		1805	'UBAC2'	0.35	1.02E-25	1.09E-23	136307	4195
																		1806	'NADSYN1'	0.35	1.02E-25	1.09E-23	383589	7893
																		1807	'FAM210B'	0.35	1.02E-25	1.10E-23	230362	8118
																		1808	'ZNHIT1'	0.35	1.04E-25	1.11E-23	139273	5193
																		1809	'TTLL12'	0.35	1.06E-25	1.13E-23	232128	7083
																		1810	'AP3D1'	0.35	1.07E-25	1.14E-23	84653	6091
																		1811	'CBX1'	0.35	1.07E-25	1.14E-23	465896	8544
																		1812	'NPTXR'	0.35	1.08E-25	1.15E-23	192022	6762
																		1813	'PVRL1'	0.35	1.08E-25	1.15E-23	212627	6786
																		1814	'SHMT2'	0.35	1.08E-25	1.15E-23	411715	7314
																		1815	'TMEM201'	0.35	1.10E-25	1.17E-23	233455	8212
																		1816	'ALKBH6'	0.35	1.11E-25	1.18E-23	223623	5707
																		1817	'TCTN1'	0.35	1.13E-25	1.21E-23	131054	8480
																		1818	'PPP2R5A'	0.35	1.22E-25	1.30E-23	376405	9294
																		1819	'FBXO27'	0.35	1.23E-25	1.30E-23	156887	8236
																		1820	'PUSL1'	0.35	1.23E-25	1.31E-23	265901	6468
																		1821	'GPR27'	0.35	1.23E-25	1.31E-23	132979	7242
																		1822	'POLDIP2'	0.35	1.25E-25	1.33E-23	215036	6373
																		1823	'CCDC108'	0.35	1.30E-25	1.38E-23	168639	6188
																		1824	'DHCR7'	0.35	1.32E-25	1.40E-23	104106	5947
																		1825	'RERE'	0.35	1.34E-25	1.43E-23	125652	7249
																		1826	'DIP2C'	0.35	1.40E-25	1.48E-23	229793	5597
																		1827	'RNF216'	0.35	1.41E-25	1.50E-23	344020	6547
																		1828	'CRTC3'	0.35	1.56E-25	1.65E-23	217821	6437
																		1829	'CYB561A3'	0.34	1.61E-25	1.70E-23	206708	7379
																		1830	'MARVELD1'	0.34	1.66E-25	1.76E-23	145438	6011
																		1831	'TMEM246'	0.34	1.67E-25	1.76E-23	414646	8111
																		1832	'RASSF4'	0.34	1.67E-25	1.76E-23	301990	6623
																		1833	'DGCR6L'	0.34	1.71E-25	1.80E-23	218060	7707
																		1834	'SURF4'	0.34	1.72E-25	1.82E-23	193355	7725
																		1835	'SDHAF1'	0.34	1.79E-25	1.89E-23	355639	8244
																		1836	'DUSP5'	0.34	1.80E-25	1.90E-23	374060	8205
																		1837	'CDK9'	0.34	1.80E-25	1.90E-23	111943	7259
																		1838	'AP1M1'	0.34	1.82E-25	1.92E-23	347446	6829
																		1839	'PMVK'	0.34	1.86E-25	1.96E-23	130942	8624
																		1840	'MIER2'	0.34	1.89E-25	1.99E-23	245710	6848
																		1841	'USF2'	0.34	2.04E-25	2.15E-23	390779	6606
																		1842	'SLC2A8'	0.34	2.08E-25	2.18E-23	427009	6983
																		1843	'ZMYM3'	0.34	2.09E-25	2.20E-23	443816	5997
																		1844	'PTTG1IP'	0.34	2.12E-25	2.22E-23	175586	7047
																		1845	'KRT8'	0.34	2.14E-25	2.24E-23	181221	6958
																		1846	'TYK2'	0.34	2.18E-25	2.29E-23	237761	8918
																		1847	'INTS3'	0.34	2.24E-25	2.34E-23	326013	6602
																		1848	'SNPH'	0.34	2.27E-25	2.38E-23	220942	7774
																		1849	'MLLT1'	0.34	2.28E-25	2.39E-23	308814	7503
																		1850	'ZNF672'	0.34	2.28E-25	2.39E-23	199475	7121
																		1851	'SEMA4B'	0.34	2.42E-25	2.53E-23	249238	8349
																		1852	'CHD3'	0.34	2.43E-25	2.55E-23	172272	8572
																		1853	'SEPT5-GP1BB'	0.34	2.59E-25	2.70E-23	212055	7040
																		1854	'OPA3'	0.34	2.59E-25	2.71E-23	278090	5739
																		1855	'CXorf40B'	0.34	2.59E-25	2.71E-23	245099	6382
																		1856	'ST14'	0.34	2.68E-25	2.79E-23	90509	6245
																		1857	'FOXRED2'	0.34	2.80E-25	2.92E-23	315697	7428
																		1858	'RAB36'	0.34	2.82E-25	2.94E-23	216421	7264
																		1859	'GALNS'	0.34	2.85E-25	2.97E-23	140301	6927
																		1860	'GGA3'	0.34	2.89E-25	3.00E-23	182301	8699
																		1861	'REPS1'	0.34	2.89E-25	3.00E-23	168040	8255
																		1862	'NKIRAS2'	0.34	2.91E-25	3.02E-23	325928	7990
																		1863	'SLC25A53'	0.34	3.15E-25	3.27E-23	238582	6073
																		1864	'BAK1'	0.34	3.20E-25	3.32E-23	183935	6222
																		1865	'IQSEC1'	0.34	3.28E-25	3.40E-23	525576	8830
																		1866	'CHFR'	0.34	3.34E-25	3.46E-23	178321	7368
																		1867	'C9orf91'	0.34	3.49E-25	3.62E-23	501900	6974
																		1868	'C21orf58'	0.34	3.50E-25	3.63E-23	230484	7477
																		1869	'ULK4'	0.34	3.51E-25	3.64E-23	150081	6965
																		1870	'ZNF598'	0.34	3.54E-25	3.67E-23	223694	7969
																		1871	'YRDC'	0.34	3.56E-25	3.69E-23	201446	7237
																		1872	'SEPN1'	0.34	3.57E-25	3.69E-23	292683	6158
																		1873	'KIF3C'	0.34	3.57E-25	3.69E-23	335204	7270
																		1874	'WDR24'	0.34	3.61E-25	3.73E-23	105349	7219
																		1875	'UNC45A'	0.34	4.03E-25	4.16E-23	201393	6059
																		1876	'SF3A1'	0.34	4.16E-25	4.30E-23	197313	7466
																		1877	'RPL31P11'	0.34	4.27E-25	4.41E-23	352761	7075
																		1878	'CRELD2'	0.34	4.40E-25	4.54E-23	196584	7049
																		1879	'NACC1'	0.34	4.42E-25	4.56E-23	311098	6914
																		1880	'GDA'	0.34	4.66E-25	4.80E-23	148504	8304
																		1881	'CERS4'	0.34	4.75E-25	4.89E-23	270897	7248
																		1882	'MUS81'	0.34	4.85E-25	4.99E-23	246557	6853
																		1883	'FLYWCH2'	0.34	4.88E-25	5.02E-23	160087	7836
																		1884	'FBRSL1'	0.34	4.99E-25	5.14E-23	149655	7931
																		1885	'C16orf62'	0.34	5.00E-25	5.14E-23	177026	8201
																		1886	'SLC35D2'	0.34	5.21E-25	5.35E-23	134236	5270
																		1887	'SYS1'	0.34	5.27E-25	5.41E-23	217894	6756
																		1888	'FBXL6'	0.34	5.31E-25	5.45E-23	206295	7461
																		1889	'SIL1'	0.34	5.32E-25	5.46E-23	181879	3239
																		1890	'ACCS'	0.34	5.36E-25	5.50E-23	286432	6506
																		1891	'MORN4'	0.34	5.49E-25	5.63E-23	267486	7863
																		1892	'WRAP73'	0.34	5.49E-25	5.63E-23	321348	7257
																		1893	'POLD4'	0.34	5.52E-25	5.66E-23	225792	7217
																		1894	'CPSF3L'	0.34	5.61E-25	5.74E-23	31267	1102
																		1895	'THRA'	0.34	5.63E-25	5.76E-23	561438	8188
																		1896	'CRTAP'	0.34	5.70E-25	5.82E-23	359393	6639
																		1897	'MDK'	0.34	5.76E-25	5.89E-23	313914	6721
																		1898	'OTUD5'	0.34	5.77E-25	5.89E-23	383536	7397
																		1899	'HABP4'	0.34	6.05E-25	6.18E-23	197909	7901
																		1900	'DCXR'	0.34	6.23E-25	6.35E-23	157682	7261
																		1901	'PHF13'	0.34	6.37E-25	6.50E-23	300549	8417
																		1902	'MADD'	0.34	6.48E-25	6.60E-23	187073	6804
																		1903	'PEA15'	0.34	6.54E-25	6.66E-23	360516	8384
																		1904	'SNX11'	0.34	6.55E-25	6.67E-23	326455	8510
																		1905	'MUL1'	0.34	6.80E-25	6.92E-23	144765	7306
																		1906	'FKBP4'	0.34	6.81E-25	6.92E-23	310823	7412
																		1907	'UBE2D2'	0.34	7.17E-25	7.29E-23	72965	7199
																		1908	'SLC26A11'	0.34	7.21E-25	7.33E-23	190846	6958
																		1909	'SAP130'	0.34	7.24E-25	7.35E-23	347342	8573
																		1910	'SRRM3'	0.34	7.52E-25	7.63E-23	247692	7126
																		1911	'HMGN2'	0.34	7.54E-25	7.65E-23	289223	6602
																		1912	'TRIM14'	0.34	7.55E-25	7.65E-23	264831	8535
																		1913	'SAMD5'	0.34	7.55E-25	7.66E-23	169500	6825
																		1914	'EHMT2'	0.34	7.61E-25	7.71E-23	69809	6738
																		1915	'LIMK1'	0.34	7.68E-25	7.78E-23	303300	7102
																		1916	'HNF1A'	0.34	7.80E-25	7.90E-23	166729	8846
																		1917	'RHOB'	0.34	7.85E-25	7.94E-23	172501	6451
																		1918	'CHST12'	0.34	7.96E-25	8.04E-23	574640	8425
																		1919	'SLC35A2'	0.34	8.05E-25	8.13E-23	151057	6203
																		1920	'MLF2'	0.34	8.06E-25	8.14E-23	410823	8355
																		1921	'PTPN1'	0.34	8.24E-25	8.32E-23	351899	6592
																		1922	'SDSL'	0.34	8.26E-25	8.34E-23	210330	6595
																		1923	'PRMT1'	0.34	8.36E-25	8.43E-23	256010	6245
																		1924	'ANAPC7'	0.34	8.70E-25	8.77E-23	207870	7802
																		1925	'ABCB8'	0.34	9.16E-25	9.23E-23	149576	7698
																		1926	'PDLIM4'	0.34	9.28E-25	9.35E-23	293298	8531
																		1927	'NPAS2'	0.34	9.34E-25	9.40E-23	69137	6156
																		1928	'HDGFRP3'	0.34	9.34E-25	9.40E-23	130763	7560
																		1929	'VCL'	0.34	9.42E-25	9.47E-23	215061	6983
																		1930	'SPRED3'	0.34	9.53E-25	9.58E-23	221513	8317
																		1931	'NFYC'	0.34	9.68E-25	9.72E-23	182271	6764
																		1932	'SLC1A4'	0.34	9.68E-25	9.72E-23	204309	6397
																		1933	'FAM53B'	0.34	9.71E-25	9.75E-23	162304	6373
																		1934	'NFKBIB'	0.34	9.85E-25	9.88E-23	286614	7769
																		1935	'DTNB'	0.34	1.00E-24	1.00E-22	93875	6212
																		1936	'TTC7B'	0.34	1.01E-24	1.01E-22	539989	7212
																		1937	'KIF1C'	0.34	1.01E-24	1.01E-22	251247	7699
																		1938	'RFX2'	0.34	1.02E-24	1.02E-22	382778	7708
																		1939	'NPHP4'	0.34	1.06E-24	1.06E-22	315810	7143
																		1940	'ZMAT3'	0.34	1.08E-24	1.08E-22	158608	7232
																		1941	'MRPL41'	0.34	1.09E-24	1.09E-22	137773	7105
																		1942	'WIPF2'	0.34	1.10E-24	1.10E-22	228775	7524
																		1943	'MOSPD3'	0.34	1.11E-24	1.11E-22	293974	6579
																		1944	'SUSD1'	0.34	1.17E-24	1.16E-22	143103	7056
																		1945	'JSRP1'	0.34	1.18E-24	1.18E-22	183918	8365
																		1946	'TMEM62'	0.34	1.18E-24	1.18E-22	216152	7717
																		1947	'PABPC4'	0.34	1.25E-24	1.24E-22	186220	8755
																		1948	'DICER1-AS1'	0.34	1.26E-24	1.25E-22	345928	7929
																		1949	'OCRL'	0.34	1.28E-24	1.27E-22	7094	2038
																		1950	'CLN3'	0.34	1.33E-24	1.32E-22	461537	7507
																		1951	'VPS39'	0.34	1.34E-24	1.33E-22	316871	6664
																		1952	'PIN1'	0.34	1.37E-24	1.36E-22	619114	7140
																		1953	'LGI3'	0.34	1.39E-24	1.38E-22	464296	3833
																		1954	'ZBTB7B'	0.34	1.41E-24	1.40E-22	528003	6877
																		1955	'TNKS2'	0.34	1.42E-24	1.41E-22	368664	6545
																		1956	'BLVRB'	0.34	1.43E-24	1.42E-22	290576	6801
																		1957	'DRG2'	0.34	1.47E-24	1.46E-22	136326	6973
																		1958	'GRHPR'	0.34	1.54E-24	1.52E-22	120830	7502
																		1959	'KLF12'	0.34	1.54E-24	1.53E-22	241549	6685
																		1960	'KPNB1'	0.34	1.55E-24	1.53E-22	285503	6848
																		1961	'LRRC23'	0.34	1.62E-24	1.60E-22	187897	6859
																		1962	'MARCH8'	0.34	1.62E-24	1.60E-22	252323	7309
																		1963	'SNHG5'	0.34	1.66E-24	1.64E-22	196307	7887
																		1964	'NDRG3'	0.34	1.73E-24	1.70E-22	128886	7776
																		1965	'USP36'	0.34	1.73E-24	1.71E-22	234271	8156
																		1966	'THRIL'	0.34	1.74E-24	1.71E-22	302172	8375
																		1967	'PIGU'	0.34	1.75E-24	1.73E-22	200296	7150
																		1968	'MAPK11'	0.34	1.76E-24	1.74E-22	165510	6961
																		1969	'RPPH1'	0.34	1.80E-24	1.78E-22	150924	7244
																		1970	'TMEM39B'	0.34	1.82E-24	1.79E-22	371850	6840
																		1971	'OVCA2'	0.34	1.86E-24	1.83E-22	186940	6656
																		1972	'HEATR2'	0.34	1.87E-24	1.84E-22	379856	7048
																		1973	'NICN1'	0.34	1.88E-24	1.85E-22	194995	6524
																		1974	'SENP2'	0.34	1.91E-24	1.88E-22	45594	5615
																		1975	'PWWP2B'	0.34	2.00E-24	1.96E-22	201909	7044
																		1976	'GMDS'	0.34	2.01E-24	1.97E-22	540072	6871
																		1977	'APBB3'	0.34	2.06E-24	2.02E-22	29959	5901
																		1978	'LINC00094'	0.34	2.07E-24	2.03E-22	85379	5754
																		1979	'NUP188'	0.34	2.13E-24	2.09E-22	255297	8649
																		1980	'SOGA3'	0.34	2.14E-24	2.09E-22	152748	7050
																		1981	'KCNJ11'	0.34	2.19E-24	2.14E-22	223315	6484
																		1982	'RPS27A'	0.34	2.31E-24	2.26E-22	222551	7550
																		1983	'FAM63B'	0.34	2.33E-24	2.28E-22	215371	7676
																		1984	'KIAA0100'	0.34	2.35E-24	2.30E-22	369085	7021
																		1985	'SBNO2'	0.34	2.42E-24	2.36E-22	216663	7723
																		1986	'ERI3'	0.34	2.45E-24	2.39E-22	401005	6282
																		1987	'FOXJ2'	0.34	2.57E-24	2.51E-22	177057	6649
																		1988	'USP40'	0.34	2.69E-24	2.63E-22	275649	6717
																		1989	'PCSK7'	0.34	2.71E-24	2.64E-22	228071	6713
																		1990	'SHB'	0.34	2.92E-24	2.85E-22	311852	6036
																		1991	'CTSZ'	0.34	2.93E-24	2.86E-22	295433	7498
																		1992	'HDAC11'	0.34	3.00E-24	2.93E-22	433998	7487
																		1993	'SLC27A4'	0.34	3.01E-24	2.93E-22	565919	8390
																		1994	'PHF23'	0.34	3.04E-24	2.96E-22	204328	6471
																		1995	'RAB13'	0.34	3.27E-24	3.18E-22	229222	8649
																		1996	'ACE'	0.34	3.42E-24	3.33E-22	286649	8766
																		1997	'C17orf59'	0.34	3.46E-24	3.37E-22	222568	6973
																		1998	'ANKLE2'	0.34	3.52E-24	3.42E-22	263732	6483
																		1999	'TIGD5'	0.34	3.53E-24	3.42E-22	251556	8654
																		2000	'CTU2'	0.34	3.69E-24	3.58E-22	153490	5900
																		2001	'SPECC1L'	0.34	3.70E-24	3.59E-22	190686	6263
																		2002	'KIAA0556'	0.34	3.78E-24	3.66E-22	206103	8564
																		2003	'ADRM1'	0.34	3.85E-24	3.73E-22	164525	8075
																		2004	'PRR26'	0.34	3.95E-24	3.82E-22	165550	7590
																		2005	'RFXAP'	0.34	4.00E-24	3.87E-22	165932	6720
																		2006	'ZDHHC9'	0.34	4.00E-24	3.87E-22	170472	6838
																		2007	'EHBP1L1'	0.34	4.07E-24	3.94E-22	151302	7599
																		2008	'PRPF40B'	0.34	4.24E-24	4.10E-22	138240	6766
																		2009	'MMD'	0.34	4.26E-24	4.12E-22	277635	7264
																		2010	'STARD7'	0.34	4.38E-24	4.23E-22	188647	7580
																		2011	'GPX3'	0.34	4.46E-24	4.30E-22	323058	6589
																		2012	'FCHSD1'	0.33	4.53E-24	4.37E-22	221936	7624
																		2013	'COX4I1'	0.33	4.64E-24	4.47E-22	169003	6274
																		2014	'GNG7'	0.33	4.68E-24	4.51E-22	269435	7199
																		2015	'APBA3'	0.33	4.72E-24	4.55E-22	130454	6596
																		2016	'GTF3C1'	0.33	4.78E-24	4.60E-22	117001	6798
																		2017	'SEZ6'	0.33	4.80E-24	4.62E-22	166543	8014
																		2018	'ORAI2'	0.33	4.81E-24	4.62E-22	309028	6856
																		2019	'ZNF76'	0.33	4.85E-24	4.66E-22	177507	7553
																		2020	'MON1A'	0.33	4.97E-24	4.78E-22	408172	7198
																		2021	'GATS'	0.33	4.98E-24	4.79E-22	476257	7008
