Institution	Vaccine	Type	Phase
IAVI/ MERCK	"REPLICATING VIRAL VECTOR, REPLICATION-COMPETENT VSV CHIMERIC VIRUS TECHNOLOGY (VSVDELTAG) DELIVERING THE SARS-COV-2 SPIKE (S) GLYCOPROTEIN; (V590)"	Replicating Viral Vector	Pre-Clinical
THE UNIVERSITY OF HONG KONG/ XIAMEN UNIVERSITY/ WANTAI BIOLOGICAL PHARMACY	"REPLICATING VIRAL VECTOR, INTRANASAL FLU-BASED RBD (DELNS1-2019-NCOV-RBD-OPT1)"	Replicating Viral Vector	Pre-Clinical
"FEDERAL BUDGETARY RESEARCH INSTITUTION (FBRI) STATE RESEARCH CENTER OF VIROLOGY AND BIOTECHNOLOGY ""VECTOR"""	REPLICATING VIRAL VECTOR; MEASLES VECTOR	Replicating Viral Vector	Pre-Clinical
FUNDACAO OSWALDO CRUZ AND INSTITUTO BUNTANTAN	ATTENUATED INFLUENZA EXPRESSING AN ANTIGENIC PORTION OF THE SPIKE PROTEIN	Replicating Viral Vector	Pre-Clinical
"FEDERAL BUDGETARY RESEARCH INSTITUTION (FBRI) STATE RESEARCH CENTER OF VIROLOGY AND BIOTECHNOLOGY ""VECTOR"""	REPLICATING VIRAL VECTOR; VSV VECTOR	Replicating Viral Vector	Pre-Clinical
"THE LANCASTER UNIVERSITY, UK"	AVIAN PARAMYXOVIRUS VECTOR (APMV)	Replicating Viral Vector	Pre-Clinical
DZIF - GERMAN CENTER FOR INFECTION RESEARCH/ CANVIREX AG	"MEASLES VIRUS (S, N TARGETS)"	Replicating Viral Vector	Pre-Clinical
UNIVERSITY OF WESTERN ONTARIO	REPLICATING VIRAL VECTOR; VSV-S	Replicating Viral Vector	Pre-Clinical
BIOCAD / IEM	"REPLICATING VIRAL VECTOR, LIVE VIRAL VECTORED VACCINE BASED ON ATTENUATED INFLUENZA VIRUS BACKBONE (INTRANASAL)"	Replicating Viral Vector	Pre-Clinical
AUROBINDO	VSV-S	Replicating Viral Vector	Pre-Clinical
ZYDUS CADILA HEALTHCARE LIMITED	REPLICATING VIRAL VECTOR; MEASLES VECTOR	Replicating Viral Vector	Pre-Clinical
UNIVERSITY OF WISCONSIN-MADISON / FLUGEN/ BHARAT BIOTECH	M2-DEFICIENT SINGLE REPLICATION (M2SR) INFLUENZA VECTOR	Replicating Viral Vector	Pre-Clinical
KU LEUVEN	REPLICATING VIRAL VECTOR; YF17D VECTOR	Replicating Viral Vector	Pre-Clinical
TONIX PHARMA / SOUTHERN RESEARCH	REPLICATING VIRAL VECTOR; HORSEPOX VECTOR EXPRESSING S PROTEIN; TNX-1800	Replicating Viral Vector	Pre-Clinical
"FEDERAL BUDGETARY RESEARCH INSTITUTION (FBRI) STATE RESEARCH CENTER OF VIROLOGY AND BIOTECHNOLOGY ""VECTOR"""	"REPLICATING VIRAL VECTOR, RECOMBINANT VACCINE BASED ON INFLUENZA A VIRUS, FOR THE PREVENTION OF COVID-19 (INTRANASAL)"	Replicating Viral Vector	Pre-Clinical
INTRAVACC/ WAGENINGEN BIOVETERINARY RESEARCH/UTRECHT UNIV.	NEWCASTLE DISEASE VIRUS VECTOR (NDV-SARS-COV-2/SPIKE)	Replicating Viral Vector	Pre-Clinical
MODERNA/ NIAID/ LONZA/ CATALENT/ ROVI/ MEDIDATA/ BIOQUAL	RNA; LNP-ENCAPSULATED MRNA (MRNA 1273)	RNA-Based Vaccine	Phase I
BIONTECH/ PFIZER/ FOSUN PHARMA/ RENTSCHLER BIOPHARMA	3 LNP-MRNAS; BNT162	RNA-Based Vaccine	Emergency authorization approval in USA
CUREVAC	RNA; MRNA (CVNCOV)	RNA-Based Vaccine	Pre-Clinical
IMPERIAL COLLEGE LONDON/ VACEQUITY GLOBAL HEALTH	RNA; LNP-NCOVSARNA	RNA-Based Vaccine	Pre-Clinical
ARCTURUS/DUKE-NUS/ CATALENT	LUNAR-COV19; RNA; MRNA	RNA-Based Vaccine	Pre-Clinical
PEOPLE'S LIBERATION ARMY (PLA) ACADEMY OF MILITARY SCIENCES/ WALVAX BIOTECH	MRNA (ARCOV)	RNA-Based Vaccine	Pre-Clinical
CHULA VACCINE RESEARCH CENTER/UNIVERSITY OF PENNSYLVANIA	LNP-MRNA; (CHULACOV19)	RNA-Based Vaccine	Pre-Clinical
"INFECTIOUS DISEASE RESEARCH INSTITUTE/ AMYRIS, INC."	SARNA FORMULATED IN A NLC	RNA-Based Vaccine	Pre-Clinical
"GLOBE BIOTECH LIMITED, BANGLADESH"	D614G VARIANT LNP-ENCAPSULATED MRNA	RNA-Based Vaccine	Pre-Clinical
MAX-PLANCK INSTITUTE OF COLLOIDS AND INTERFACES	LNP-ENCAPSULATED MRNA ENCODING S	RNA-Based Vaccine	Pre-Clinical
SANOFI PASTEUR / TRANSLATE BIO	LNP-MRNA	RNA-Based Vaccine	Pre-Clinical
GENEONE LIFE SCIENCE / HOUSTON METHODIST	RNA	RNA-Based Vaccine	Pre-Clinical
CHIMERON BIO/ GEORGE MASON UNIVERSITY'S NATIONAL CENTER FOR BIODEFENSE AND INFECTIOUS DISEASE	"SELF AMPLIFYING RNA, SELF-ASSEMBLING DELIVERY SYSTEM"	RNA-Based Vaccine	Pre-Clinical
"CENTRO NACIONAL BIOTECNOLOGIA (CNB-CSIC), SPAIN"	RNA; REPLICATING DEFECTIVE SARS-COV-2 DERIVED RNAS	RNA-Based Vaccine	Pre-Clinical
"RNAIMMUNE, INC."	RNA; SEVERAL MRNA CANDIDATES	RNA-Based Vaccine	Pre-Clinical
GREENLIGHT BIOSCIENCES	MRNA	RNA-Based Vaccine	Pre-Clinical
FUDAN UNIVERSITY / SHANGHAI JIAOTONG UNIVERSITY / RNACURE BIOPHARMA	RNA; LNP-ENCAPSULATED MRNA COCKTAIL ENCODING RBD	RNA-Based Vaccine	Pre-Clinical
BIOCAD	RNA; LIPOSOME-ENCAPSULATED MRNA	RNA-Based Vaccine	Pre-Clinical
ZIPHIUS THERAPEUTICS/ GHENT UNIVERSITY	"RNA; ZIP-1642, VACCINE CONSISTS OF A COMBINATION OF MRNA MOLECULES, ENCODING MULTIPLE SARS-COV-2 ANTIGENS"	RNA-Based Vaccine	Pre-Clinical
ELIXIRGEN THERAPEUTICS/ FUJITA HEALTH UNIVERSITY	SRRNA (EXG-5003)	RNA-Based Vaccine	Pre-Clinical
CANSINO BIOLOGICS/PRECISION NANOSYSTEMS	RNA; MRNA LIPID NANOPARTICLE (MRNA-LNP)	RNA-Based Vaccine	Pre-Clinical
CHINA CDC / TONGJI UNIVERSITY / STERMINA	RNA; MRNA	RNA-Based Vaccine	Pre-Clinical
"IDIBAPS- HOSPITAL CLINIC, SPAIN"	MRNA	RNA-Based Vaccine	Pre-Clinical
GENNOVA	SELF-AMPLIFYING RNA	RNA-Based Vaccine	Pre-Clinical
"FEDERAL BUDGETARY RESEARCH INSTITUTION (FBRI) STATE RESEARCH CENTER OF VIROLOGY AND BIOTECHNOLOGY ""VECTOR"""	RNA; MRNA	RNA-Based Vaccine	Pre-Clinical
FUDAN UNIVERSITY / SHANGHAI JIAOTONG UNIVERSITY / RNACURE BIOPHARMA	RNA; LNP-ENCAPSULATED MRNA COCKTAIL ENCODING VLP	RNA-Based Vaccine	Pre-Clinical
ETHERNA IMMUNOTHERAPIES / EPIVAX/ NEXELIS/ REPROCELL / CENTRE FOR THE EVALUATION OF VACCINATION OF THE UNIVERSITY OF ANTWERP	RNA; MRNA IN AN INTRANASAL DELIVERY SYSTEM (CROSS-STRAIN PROTECTIVE COV-2 MRNA) VACCINE FOR HIGH-RISK POPULATIONS	RNA-Based Vaccine	Pre-Clinical
SELCUK UNIVERSITY	MRNA	RNA-Based Vaccine	Pre-Clinical
DAIICHI-SANKYO/ UNIVERSITY OF TOKYO'S INSTITUTE OF MEDICAL SCIENCE	RNA; MRNA (DS-5670)	RNA-Based Vaccine	Pre-Clinical
SPYBIOTECH/ SERUM INSTITUTE OF INDIA	HEPATITIS B SURFACE ANTIGEN (HBSAG) VLPS	Virus-Like Particle	Pre-Clinical
MEDICAGO INC.	VLP; PLANT-DERIVED VLP ADJUVANTED WITH GSK OR DYNAVAX ADJS.	Virus-Like Particle	Pre-Clinical
ICOSAVAX	VLP DISPLAYING THE SARS-COV-2 RECEPTOR-BINDING DOMAIN (RBD); (IVX-411)	Virus-Like Particle	Pre-Clinical
MAX-PLANCK INSTITUTE FOR DYNAMICS OF COMPLEX TECHNICAL SYSTEMS	VLP	Virus-Like Particle	Pre-Clinical
TAMPERE UNIVERSITY	VLPS PRODUCED IN BEVS	Virus-Like Particle	Pre-Clinical
UNIVERSITY OF MANITOBA	VIRUS-LIKE PARTICLE-BASED DENDRITIC CELL-TARGETING VACCINE	Virus-Like Particle	Pre-Clinical
VBI VACCINES / NATIONAL RESEARCH COUNCIL OF CANADA/ THERAPURE BIOMANUFACTURING	"ENVELOPED VIRUS-LIKE PARTICLE (EVLP): PAN-CORONAVIRUS VACCINE CANDIDATE, TARGETING COVID-19, SARS, AND MERS, SPIKE PROTEIN (VBI-2900)"	Virus-Like Particle	Pre-Clinical
ARTES BIOTECHNOLOGY	VLP; EVLP	Virus-Like Particle	Pre-Clinical
UNIVERSITY OF SAO PAULO	VLPS PEPTIDES/WHOLE VIRUS	Virus-Like Particle	Pre-Clinical
MIDDLE EAST TECHNICAL UNIVERSITY	VLP	Virus-Like Particle	Pre-Clinical
VBI VACCINES / NATIONAL RESEARCH COUNCIL OF CANADA/ THERAPURE BIOMANUFACTURING	"ENVELOPED VIRUS-LIKE PARTICLE (EVLP): PAN-CORONAVIRUS VACCINE CANDIDATE, TARGETING COVID-19, SARS, AND MERS, SPIKE PROTEIN (VBI-2900)"	Virus-Like Particle	Pre-Clinical
ARTES BIOTECHNOLOGY	VLP; EVLP	Virus-Like Particle	Pre-Clinical
UNIVERSITY OF SAO PAULO	VLPS PEPTIDES/WHOLE VIRUS	Virus-Like Particle	Pre-Clinical
MIDDLE EAST TECHNICAL UNIVERSITY	VLP	Virus-Like Particle	Pre-Clinical
IMOPHORON LTD / BRISTOL UNIVERSITY'S MAX PLANCK CENTRE	VLP; ADDOMERTM MULTIEPITOPE DISPLAY	Virus-Like Particle	Pre-Clinical
DOHERTY INSTITUTE	VLP; UNKNOWN	Virus-Like Particle	Pre-Clinical
MAHIDOL UNIVERSITY/ THE GOVERNMENT PHARMACEUTICAL ORGANIZATION (GPO)/ SIRIRAJ HOSPITAL	VLP + ADJUVANT	Virus-Like Particle	Pre-Clinical
MEDICAGO INC./ DYNAVAX	VLP (COVLP)+ ADJUVANT (CPG 1018)	Virus-Like Particle	Pre-Clinical
IRSICAIXA AIDS RESEARCH/ IRTA-CRESA/ BARCELONA SUPERCOMPUTING CENTRE/ GRIFOLS	S PROTEIN INTEGRATED IN HIV VLPS	Virus-Like Particle	Pre-Clinical
SAIBA GMBH	"VLP; VIRUS-LIKE PARTICLE, BASED ON RBD DISPLAYED ON VIRUS-LIKE PARTICLE"	Virus-Like Particle	Pre-Clinical
MEDICAGO INC./ GSK	VLP (COVLP)+ ADJUVANT	Virus-Like Particle	Pre-Clinical
OSIVAX	VLP (COVID-19 AND SARS1)	Virus-Like Particle	Pre-Clinical
BEZMIALEM VAKIF UNIVERSITY	VLP	Virus-Like Particle	Pre-Clinical
"NAVARRABIOMED, ONCOIMMUNOLOGY GROUP"	"VIRUS-LIKE PARTICLES, LENTIVIRUS, AND BACULOVIRUS VEHICLES"	Virus-Like Particle	Pre-Clinical
UNITED BIOMEDICAL (UBI)/ C19	UNKNOWN	Other	Pre-Clinical
SK BIOSCIENCES	UNKNOWN	Other	Pre-Clinical
OSE IMMUNOTHERAPEUTICS	T CELL-BASED VACCINE PLATFORM (COVEPIT)	Other	Pre-Clinical
ORAGENICS (NOACHIS TERRA)/ ARAGEN BIOSCIENCE	TERRACOV2	Other	Pre-Clinical
NIDOVAX	UNKNOWN; IMT504 TECHNOLOGY	Other	Pre-Clinical
VAULT PHARMA/ UNIVERSITY OF CALIFORNIA LOS ANGELES	NANOPARTICLES (VAULTS) AS SECOND-LINE DEFENSE OF INFECTION	Other	Pre-Clinical
TULANE UNIVERSITY	UNKNOWN	Other	Pre-Clinical
"CATHOLIC UNIVERSITY/ MILLENNIUM INSTITUTE OF IMMUNOLOGY AND IMMUNOTHERAPY/ TECHNOLOGICAL CONSORTIUM IN CLINICAL MOLECULAR BIOMEDICINE, CHILE"	UNKNOWN	Other	Pre-Clinical
SHENZHEN GENO-IMMUNE MEDICAL INSTITUTE	LV-SMENP-DC DENDRITIC CELLS MODIFIED WITH LENTIVIRAL VECTOR EXPRESSING SYNTHETIC MINIGENE BASED ON DOMAINS OF SELECTED VIRAL PROTEINS; ADMINISTERED WITH ANTIGEN-SPECIFIC CYTOTOXIC T LYMPHOCYTES	Other	Pre-Clinical
HALOVAX (VOLTRON THERAPEUTICS) / THE VACCINE & IMMUNOTHERAPY CENTER AT THE MASSACHUSETTS GENERAL HOSPITAL	"SELF-ASSEMBLING VACCINE (FUSION PROTEIN OF A HEAT SHOCK PROTEIN AND AVIDIN, WITH BIOTINYLATED IMMUNOGENIC PEPTIDES)"	Other	Pre-Clinical
EMERGEX VACCINES/ GEORGE MASON UNIVERSITY'S NATIONAL CENTER FOR BIODEFENSE AND INFECTIOUS DISEASES (NCBID)	UNKNOWN	Other	Pre-Clinical
VIVALDI BIOSCIENCES/ ESCO ASTER PTE LTD	CHIMERIC VACCINE (CORONAVIRUS AND INFLUENZA)	Other	Pre-Clinical
ADELEKE UNIVERSITY	UNKNOWN	Other	Pre-Clinical
ABVISION	AVI-205	Other	Pre-Clinical
SHENZHEN GENO-IMMUNE MEDICAL INSTITUTE	ARTIFICIAL ANTIGEN-PRESENTING CELLS MODIFIED WITH LENTIVIRAL VECTOR EXPRESSING SYNTHETIC MINIGENE BASED ON DOMAINS OF SELECTED VIRAL PROTEINS	Other	Pre-Clinical
CODIAK BIOSCIENCES/ RAGON INSTITUTE	EXOVACC EXOME PLATFORM	Other	Pre-Clinical
PRECISION VACCINES PROGRAM AT BOSTON CHILDREN'S HOSPITAL	UNKNOWN	Other	Pre-Clinical
VIR BIOTECHNOLOGY / GSK	UNKNOWN	Other	Pre-Clinical
ISR IMMUNE SYSTEM REGULATION	ISR-50	Other	Pre-Clinical
