geneIDs	a_cells	a_donor	geneIDs	b_cells	b_donor	geneIDs	g_cells	g_donor	geneIDs	d_cells	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	all cells	all_donors
															'SPSB2'	0.623	0.427	0.789	0.121
															'ATP13A1'	0.622	0.487	0.789	0.091
															'APRT'	0.622	0.508	0.788	0.666
															'ARFGAP1'	0.622	0.456	0.787	0.42
															'STK16'	0.622	0.493	0.786	0.612
															'SRC'	0.621	0.418	0.786	0.573
															'PACS1'	0.62	0.441	0.784	0.575
															'ZNF503'	0.62	0.194	0.784	0.501
															'SCAND1'	0.62	0.563	0.781	0.576
															'FN3K'	0.62	0.542	0.781	0.516
															'GPX1'	0.62	0.453	0.779	0.241
															'C19orf24'	0.62	0.505	0.778	0.648
															'GNAI2'	0.62	0.538	0.776	0.527
															'MEGF8'	0.619	0.361	0.775	0.704
															'PKM'	0.619	0.483	0.774	0.571
															'ACIN1'	0.619	0.348	0.773	0.418
															'TRAF4'	0.618	0.5	0.773	0.649
															'C10orf54'	0.618	0.137	0.773	0.652
															'MFI2'	0.618	0.235	0.772	0.567
															'STK25'	0.618	0.44	0.771	0.634
															'PRPF19'	0.618	0.454	0.771	0.581
															'BCL3'	0.618	0.393	0.767	0.4
															'RPL29'	0.617	0.506	0.764	0.404
															'TMEM102'	0.617	0.329	0.763	0.242
															'NCKIPSD'	0.617	0.43	0.761	0.596
															'KIF12'	0.617	0.502	0.761	0.641
															'POLR2L'	0.617	0.558	0.76	0.644
															'CLSTN1'	0.616	0.483	0.76	0.437
															'PELP1'	0.616	0.431	0.758	0.665
															'BACE2'	0.616	0.371	0.757	0.396
															'RAD23A'	0.615	0.53	0.757	0.51
															'PSMD3'	0.615	0.489	0.757	0.214
															'DOK4'	0.615	0.381	0.755	0.242
															'TPRA1'	0.615	0.401	0.754	0.415
															'SRCAP'	0.614	0.419	0.754	0.566
															'MOGS'	0.614	0.52	0.754	0.32
															'KMT2D'	0.613	0.452	0.754	0.368
															'COL18A1'	0.613	0.033	0.752	0.658
															'MFSD10'	0.613	0.531	0.751	0.574
															'MMP15'	0.613	0.44	0.751	0.129
															'CKAP4'	0.613	0.411	0.746	0.657
															'LZTR1'	0.613	0.391	0.746	0.412
															'NEURL1'	0.612	0.487	0.745	0.631
															'CX3CL1'	0.612	0.179	0.744	0.476
															'KLHL26'	0.612	0.33	0.744	0.672
															'PIM3'	0.612	0.502	0.743	0.569
															'PTTG1IP'	0.611	0.344	0.742	0.63
															'SLC9A8'	0.611	0.415	0.74	0.617
															'NOP14-AS1'	0.61	0.374	0.74	0.411
															'DDX23'	0.61	0.295	0.739	0.613
															'GRN'	0.61	0.488	0.739	0.618
															'PPP6R1'	0.61	0.517	0.738	0.639
															'DHX32'	0.61	0.272	0.738	0.469
															'PFKL'	0.61	0.552	0.737	0.646
															'TPT1'	0.609	0.368	0.737	0.469
															'PPP1R12C'	0.609	0.472	0.737	0.594
															'GATS'	0.609	0.335	0.734	0.626
															'SFT2D3'	0.609	0.362	0.733	0.588
															'SNF8'	0.609	0.494	0.733	0.568
															'TAF6'	0.608	0.445	0.733	0.623
															'CREB3L1'	0.608	0.239	0.732	0.54
															'REPIN1'	0.608	0.463	0.731	0.434
															'UCK1'	0.608	0.412	0.73	0.481
															'TRAPPC12'	0.607	0.436	0.728	0.637
															'C9orf89'	0.607	0.385	0.727	0.587
															'GANAB'	0.607	0.51	0.727	0.305
															'CIRBP'	0.606	0.317	0.726	0.413
															'DTX3'	0.606	0.529	0.725	0.649
															'TRIM26'	0.605	0.313	0.725	0.597
															'CCDC97'	0.605	0.348	0.724	0.563
															'VASN'	0.605	0.227	0.723	0.209
															'SGSM3'	0.605	0.44	0.721	0.64
															'SPNS1'	0.605	0.49	0.721	0.569
															'FAM210B'	0.605	0.346	0.72	0.624
															'LOC407835'	0.604	0.41	0.719	0.618
															'CITED2'	0.604	0.483	0.718	0.245
															'ETHE1'	0.604	0.358	0.717	0.37
															'PTPN6'	0.604	0.301	0.716	0.638
															'C19orf66'	0.604	0.418	0.716	0.559
															'CAPNS1'	0.603	0.131	0.715	0.581
															'DALRD3'	0.603	0.391	0.714	0.351
															'LLGL2'	0.603	0.382	0.713	0.526
															'ZDHHC1'	0.603	0.516	0.713	0.334
															'TMEM63A'	0.602	0.123	0.713	0.457
															'PIP5K1C'	0.602	0.355	0.713	0.498
															'PARP10'	0.601	0.419	0.713	0.458
															'SBNO2'	0.601	0.337	0.712	0.546
															'COPRS'	0.601	0.43	0.712	0.625
															'ZMIZ2'	0.601	0.387	0.712	0.593
															'CAPS'	0.601	0.295	0.709	0.385
															'TOM1'	0.6	0.444	0.709	0.63
															'DNAJB2'	0.6	0.44	0.708	0.55
															'NDN'	0.6	0.428	0.708	0.521
															'LAMP2'	-0.601	-0.315	0.707	0.145
															'ENPP2'	-0.602	-0.321	0.707	0.496
															'SDHD'	-0.615	-0.357	0.707	0.492
															'CD164'	-0.617	-0.363	0.706	0.471
															'TMBIM6'	-0.618	-0.245	0.706	0.476
															'ANXA5'	-0.622	-0.337	0.705	0.374
															'ARL6IP5'	-0.632	-0.231	0.705	0.585
															'PPY'	-0.633	-0.56	0.705	0.363
															'PSMA2'	-0.633	-0.294	0.705	0.061
															'SET'	-0.642	-0.575	0.704	0.168
															'VPS29'	-0.643	-0.279	0.704	0.353
															'UGT2B17'	-0.645	-0.116	0.702	0.592
															'SCP2'	-0.654	-0.35	0.702	0.576
															'ATP6V1G1'	-0.658	-0.517	0.701	0.627
															'CAPZA1'	-0.658	-0.489	0.701	0.538
															'DAZAP2'	-0.661	-0.256	0.699	0.559
															'DDX5'	-0.664	-0.556	0.698	0.608
															'C6orf62'	-0.669	-0.364	0.698	0.574
															'TSPYL1'	-0.674	-0.553	0.698	0.51
															'PRDX3'	-0.676	-0.474	0.698	0.518
															'ANXA2P1'	-0.678	-0.226	0.697	0.593
															'H3F3B'	-0.683	-0.536	0.697	0.43
															'CNN3'	-0.689	-0.033	0.697	0.587
															'ASAH1'	-0.694	-0.389	0.696	0.502
															'SKP1P2'	-0.7	-0.364	0.695	0.417
															'ARPC5'	-0.714	-0.366	0.694	0.511
															'B2M'	-0.732	-0.399	0.694	0.306
															'PPP1CB'	-0.736	-0.524	0.694	0.18
															'SKP1'	-0.778	-0.43	0.693	0.534
															'SRP9'	-0.786	-0.605	0.693	0.571
															'SDCBP'	-0.799	-0.284	0.693	0.471
																		0.693	0.501
																		0.691	0.48
																		0.691	0.614
																		0.691	0.33
																		0.69	0.383
																		0.69	0.556
																		0.69	0.488
																		0.69	0.135
																		0.689	0.543
																		0.689	0.48
																		0.689	0.4
																		0.689	0.544
																		0.688	0.537
																		0.688	0.278
																		0.687	0.57
																		0.687	0.407
																		0.687	0.424
																		0.687	0.323
																		0.686	0.168
																		0.686	0.373
																		0.686	0.361
																		0.685	0.133
																		0.685	0.47
																		0.685	0.475
																		0.684	0.276
																		0.684	0.484
																		0.683	0.459
																		0.683	0.538
																		0.683	0.431
																		0.683	0.576
																		0.682	0.528
																		0.682	0.389
																		0.681	0.449
																		0.681	0.124
																		0.68	0.551
																		0.68	0.371
																		0.679	0.37
																		0.678	0.512
																		0.677	0.25
																		0.677	0.603
																		0.676	0.613
																		0.676	0.536
																		0.676	0.524
																		0.676	0.573
																		0.675	0.452
																		0.675	0.58
																		0.674	0.45
																		0.674	0.47
																		0.674	0.422
																		0.673	0.36
																		0.673	0.497
																		0.672	0.461
																		0.672	0.487
																		0.672	0.588
																		0.671	0.323
																		0.671	0.517
																		0.671	0.555
																		0.67	0.539
																		0.67	0.347
																		0.67	0.49
																		0.669	0.516
																		0.669	0.474
																		0.669	0.494
																		0.669	0.394
																		0.669	0.341
																		0.669	0.404
																		0.669	0.483
																		0.668	0.519
																		0.668	0.406
																		0.668	0.373
																		0.667	0.455
																		0.667	0.461
																		0.667	0.461
																		0.667	0.547
																		0.667	0.466
																		0.667	0.429
																		0.667	0.347
																		0.666	0.346
																		0.666	0.503
																		0.665	0.391
																		0.664	0.456
																		0.663	0.492
																		0.663	0.2
																		0.662	0.342
																		0.662	0.175
																		0.662	0.352
																		0.662	0.541
																		0.661	0.311
																		0.661	0.238
																		0.66	0.553
																		0.659	0.428
																		0.659	0.429
																		0.659	0.11
																		0.659	0.536
																		0.658	0.463
																		0.658	0.436
																		0.657	0.493
																		0.657	0.582
																		0.657	0.381
																		0.656	0.382
																		0.656	0.494
																		0.655	0.376
																		0.654	0.498
																		0.654	0.399
																		0.654	0.566
																		0.654	0.416
																		0.654	0.403
																		0.653	0.535
																		0.653	0.561
																		0.653	0.352
																		0.653	0.385
																		0.652	0.129
																		0.652	0.539
																		0.652	0.549
																		0.652	0.563
																		0.652	0.472
																		0.651	0.458
																		0.651	0.473
																		0.651	0.432
																		0.65	0.501
																		0.65	0.586
																		0.65	0.588
																		0.65	0.444
																		0.649	0.307
																		0.649	0.537
																		0.649	0.456
																		0.648	0.532
																		0.648	0.464
																		0.647	0.467
																		0.647	0.439
																		0.646	0.518
																		0.646	0.292
																		0.645	0.516
																		0.645	0.408
																		0.645	0.58
																		0.645	0.259
																		0.645	0.405
																		0.644	0.486
																		0.644	0.317
																		0.643	0.441
																		0.643	0.467
																		0.643	0.248
																		0.643	0.502
																		0.642	0.516
																		0.642	0.581
																		0.642	0.401
																		0.641	0.361
																		0.641	0.455
																		0.64	0.112
																		0.64	0.381
																		0.64	0.434
																		0.64	0.431
																		0.639	0.4
																		0.639	0.537
																		0.638	0.454
																		0.637	0.264
																		0.637	0.507
																		0.636	0.386
																		0.636	0.499
																		0.635	0.409
																		0.634	0.483
																		0.634	0.362
																		0.634	0.472
																		0.634	0.37
																		0.634	0.439
																		0.634	0.476
																		0.633	0.498
																		0.633	0.352
																		0.632	0.468
																		0.632	0.526
																		0.632	0.364
																		0.632	0.199
																		0.632	0.409
																		0.631	0.409
																		0.631	0.345
																		0.63	0.531
																		0.63	0.169
																		0.63	0.502
																		0.629	0.499
																		0.628	0.203
																		0.628	0.452
																		0.628	0.413
																		0.627	0.553
																		0.627	0.526
																		0.627	0.493
																		0.627	0.386
																		0.626	0.39
																		0.626	0.316
																		0.626	0.376
																		0.625	0.263
																		0.625	0.405
																		0.625	0.177
																		0.625	0.559
																		0.624	0.118
																		0.624	0.443
																		0.624	0.476
																		0.624	0.392
																		0.624	0.376
																		0.623	0.431
																		0.623	0.4
																		0.623	0.4
																		0.623	0.427
																		0.622	0.487
																		0.622	0.508
																		0.622	0.456
																		0.622	0.493
																		0.621	0.418
																		0.62	0.441
																		0.62	0.194
																		0.62	0.563
																		0.62	0.542
																		0.62	0.453
																		0.62	0.505
																		0.62	0.538
																		0.619	0.361
																		0.619	0.483
																		0.619	0.348
																		0.618	0.5
																		0.618	0.137
																		0.618	0.235
																		0.618	0.44
																		0.618	0.454
																		0.618	0.393
																		0.617	0.506
																		0.617	0.329
																		0.617	0.43
																		0.617	0.502
																		0.617	0.558
																		0.616	0.483
																		0.616	0.431
																		0.616	0.371
																		0.615	0.53
																		0.615	0.489
																		0.615	0.381
																		0.615	0.401
																		0.614	0.419
																		0.614	0.52
																		0.613	0.452
																		0.613	0.033
																		0.613	0.531
																		0.613	0.44
																		0.613	0.411
																		0.613	0.391
																		0.612	0.487
																		0.612	0.179
																		0.612	0.33
																		0.612	0.502
																		0.611	0.344
																		0.611	0.415
																		0.61	0.374
																		0.61	0.295
																		0.61	0.488
																		0.61	0.517
																		0.61	0.272
																		0.61	0.552
																		0.609	0.368
																		0.609	0.472
																		0.609	0.335
																		0.609	0.362
																		0.609	0.494
																		0.608	0.445
																		0.608	0.239
																		0.608	0.463
																		0.608	0.412
																		0.607	0.436
																		0.607	0.385
																		0.607	0.51
																		0.606	0.317
																		0.606	0.529
																		0.605	0.313
																		0.605	0.348
																		0.605	0.227
																		0.605	0.44
																		0.605	0.49
																		0.605	0.346
																		0.604	0.41
																		0.604	0.483
																		0.604	0.358
																		0.604	0.301
																		0.604	0.418
																		0.603	0.131
																		0.603	0.391
																		0.603	0.382
																		0.603	0.516
																		0.602	0.123
																		0.602	0.355
																		0.601	0.419
																		0.601	0.337
																		0.601	0.43
																		0.601	0.387
																		0.601	0.295
																		0.6	0.444
																		0.6	0.44
																		0.6	0.428
																		-0.601	-0.315
																		-0.602	-0.321
																		-0.615	-0.357
																		-0.617	-0.363
																		-0.618	-0.245
																		-0.622	-0.337
																		-0.632	-0.231
																		-0.633	-0.56
																		-0.633	-0.294
																		-0.642	-0.575
																		-0.643	-0.279
																		-0.645	-0.116
																		-0.654	-0.35
																		-0.658	-0.517
																		-0.658	-0.489
																		-0.661	-0.256
																		-0.664	-0.556
																		-0.669	-0.364
																		-0.674	-0.553
																		-0.676	-0.474
																		-0.678	-0.226
																		-0.683	-0.536
																		-0.689	-0.033
																		-0.694	-0.389
																		-0.7	-0.364
																		-0.714	-0.366
																		-0.732	-0.399
																		-0.736	-0.524
																		-0.778	-0.43
																		-0.786	-0.605
																		-0.799	-0.284
